pitch,roll,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,distance,time,jerk_x,jerk_y,jerk_z,is_running_backoff
-1.0,0.0,330.3223,148.4057,9785.2,0.04310766,-0.01398024,-0.05562783,2000.0,2024-01-12 16:19:13.415401,0,0,0,False
-5.0,-9.0,842.5613,-1376.343,8633.859,-1.706892,0.9660198,-3.555628,2000.0,2024-01-12 16:19:13.596012,2836.1450852938087,-8442.169635293532,-6374.700322793187,False
-2.0,-2.0,478.728,-411.7061,10192.12,-0.3068923,0.5460198,9.534372,2000.0,2024-01-12 16:19:13.836699,-1511.6449995222008,4007.847951904341,6474.221707030294,False
-2.0,2.0,464.3662,402.1315,8978.544,-0.5868923,-0.8539803,3.794372,2000.0,2024-01-12 16:19:14.016016,-80.09168121260124,4538.54124260388,-6767.768811657573,False
-7.0,4.0,1249.48,660.6447,9174.822,2.633108,3.13602,13.24437,2000.0,2024-01-12 16:19:14.196048,4360.968050124423,1435.9291681478844,1090.2395129754725,False
-3.0,0.0,691.762,-119.682,10139.46,2.633108,1.03602,0.7843722,2000.0,2024-01-12 16:19:14.376620,-3088.618390448132,-4321.415834127107,5342.12391732937,False
-26.0,-38.0,12523.52,-15809.99,19596.73,-13.95689,-62.80398,-80.69563,2000.0,2024-01-12 16:19:14.556137,65908.84428772762,-87402.90891670425,52681.751588986,True
38.0,10.0,-10438.66,2467.843,13033.37,-6.116892,38.90602,-53.18563,2000.0,2024-01-12 16:19:14.676172,-191295.7054192527,152270.86266505602,-54678.718707043765,True
38.0,10.0,-10438.66,2467.843,13033.37,-6.116892,38.90602,-53.18563,2000.0,2024-01-12 16:19:14.676172,-191295.7054192527,152270.86266505602,-54678.718707043765,True
-2.0,-11.0,399.7379,-2187.787,10414.73,-4.296892,5.02602,-62.56563,81.0,2024-01-12 16:19:14.914031,45566.482243682185,-19573.066396478585,-11009.211339491048,True
-2.0,-11.0,399.7379,-2187.787,10414.73,-4.296892,5.02602,-62.56563,81.0,2024-01-12 16:19:14.914031,45566.482243682185,-19573.066396478585,-11009.211339491048,True
-4.0,0.0,830.5931,117.2884,10012.6,-1.216892,-2.81398,-15.31563,82.0,2024-01-12 16:19:15.095671,2372.0281876238714,12690.351244219333,-2213.884606914772,True
-5.0,9.0,864.1041,1366.768,8576.412,4.523108,14.89602,191.7444,105.0,2024-01-12 16:19:15.275860,185.97694642847216,6934.272347368597,-7970.453246313594,True
-5.0,9.0,864.1041,1366.768,8576.412,4.523108,14.89602,191.7444,105.0,2024-01-12 16:19:15.275860,185.97694642847216,6934.272347368597,-7970.453246313594,True
0.0,1.0,-138.8311,213.034,10153.82,1.723108,2.71602,198.5344,2000.0,2024-01-12 16:19:15.455995,-5567.686457379188,-6404.829711050046,8756.810170150162,True
0.0,1.0,-138.8311,213.034,10153.82,1.723108,2.71602,198.5344,2000.0,2024-01-12 16:19:15.455995,-5567.686457379188,-6404.829711050046,8756.810170150162,False
-3.0,3.0,584.0482,670.2192,9603.284,4.453108,-2.46398,210.2244,2000.0,2024-01-12 16:19:15.696164,3009.8776278370647,1903.5978831572768,-2292.2858487148637,False
-3.0,1.0,665.4319,213.034,10079.62,-0.4468923,0.1260198,3.794372,2000.0,2024-01-12 16:19:15.875243,454.456971504197,-2552.9805281467957,2659.921040434675,False
