pitch,roll,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,distance,time,jerk_x,jerk_y,jerk_z,is_running_backoff
-1.0,0.0,306.3859,105.3202,9732.54,0.03353706,-0.01745607,0.1487471,2000.0,2024-01-12 16:23:44.935764,0,0,0,False
-2.0,-5.0,359.046,-897.615,9414.187,-1.086463,-2.257456,-0.7612529,656.0,2024-01-12 16:23:44.995765,877.6537057715705,-16715.308078198697,-5305.794903418293,False
-4.0,4.0,816.2313,284.8432,9677.486,1.573537,0.05254393,1.618747,628.0,2024-01-12 16:23:45.116286,3793.407787854399,9811.221280938591,2184.6732104778494,False
-1.0,1.0,184.3103,248.9386,9586.528,0.1035371,1.522544,-0.6912529,589.0,2024-01-12 16:23:45.356720,-2628.251412029913,-149.33245714000523,-378.3075604947742,False
-5.0,3.0,1048.414,567.2927,9974.298,-3.186463,-1.837456,1.268747,526.0,2024-01-12 16:23:45.595758,3614.9218952635147,1331.8137701955336,1622.2106945339253,False
-1.0,3.0,330.3223,615.1655,9758.87,-1.506463,-2.677456,-0.2012529,478.0,2024-01-12 16:23:45.776355,-3976.2105682818647,265.08081529593505,-1192.8658837079236,False
-6.0,-1.0,1084.319,-299.205,9407.005,-1.646463,-2.397456,-2.931253,435.0,2024-01-12 16:23:45.956584,4183.548152628045,-5073.381642244034,-1952.3217684168562,False
1.0,5.0,-363.8333,962.2433,10409.94,0.2435371,2.992544,6.728747,379.0,2024-01-12 16:23:46.196174,-6044.29358487416,5265.029007888476,4186.046996953134,False
-5.0,0.0,981.3924,-81.38376,9687.062,-2.206463,0.2625439,1.268747,333.0,2024-01-12 16:23:46.375799,7489.078357689631,-5810.032345163535,-4024.372999304109,False
0.0,5.0,844.955,655.8574,9840.254,-0.6664629,3.832544,4.838747,279.0,2024-01-12 16:23:46.616031,-567.9401578474138,3068.8715907955643,637.6835725465421,False
1.0,1.0,-244.1513,172.3421,9122.162,0.2435371,2.012544,0.2887471,231.0,2024-01-12 16:23:46.797089,-6015.23434479559,-2670.499508444808,-3966.0882148261912,False
1.0,0.0,-284.8432,45.47916,9553.018,-0.5964629,1.102544,4.908747,184.0,2024-01-12 16:23:47.036313,-170.09957194930288,-530.3102531518576,1801.056750158846,False
